Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
Bacteria	Candidatus_Melainabacteria	Candidatus_Melainabacteria_unclassified	Candidatus_Gastranaerophilales	Candidatus_Gastranaerophilales_unclassified	GGB5997	GGB5997_SGB8620	SGB8620
Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella_SGB14747	SGB14747
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium_SGB161639	SGB161639
Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	GGB51959	GGB51959_SGB72479	SGB72479
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella_oris	SGB1525
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_SGB5735	SGB5735
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_radingae	SGB17194
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_zeae	SGB101870
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB48612	SGB48612
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_SGB2313	SGB2313
Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma_massiliensis	SGB14749
Bacteria	Bacteroidota	CFGB4405	OFGB4405	FGB4405	GGB1266	GGB1266_SGB1699	SGB1699
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_clarus	SGB1832
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Drancourtella	Drancourtella_SGB106018	SGB106018
Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	GGB87523	GGB87523_SGB14795	SGB14795
Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella_sp_YY7918	SGB14811
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified_SGB47662	SGB47662
Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	Pyramidobacter_piscolens	SGB15497
Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	GGB9819	GGB9819_SGB15460	SGB15460
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_senegalensis	SGB2296
Bacteria	Bacteroidota	CFGB27697	OFGB27697	FGB27697	GGB1633	GGB1633_SGB2241	SGB2241
Bacteria	Pseudomonadota	CFGB2404	OFGB2404	FGB2404	GGB6608	GGB6608_SGB9342	SGB9342
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sutterellaceae	GGB6574	GGB6574_SGB9290	SGB9290
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella_sp_AM11_39	SGB9280
Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella_SGB63086	SGB63086
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB42664	GGB42664_SGB59865	SGB59865
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_unclassified	Gemmiger	Gemmiger_SGB72784	SGB72784
Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	GGB45656	GGB45656_SGB63371	SGB63371
Bacteria	Firmicutes	Clostridia	Eubacteriales	Butyricicoccaceae	GGB84990	GGB84990_SGB118625	SGB118625
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	Oscillibacter_sp_PC13	SGB7258
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB25053	GGB25053_SGB36975	SGB36975
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaerofilum	Anaerofilum_sp_An201	SGB15276
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB79452	GGB79452_SGB105678	SGB105678
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB3176	GGB3176_SGB4194	SGB4194
Bacteria	Firmicutes	Clostridia	Eubacteriales	Beduinellaceae	GGB58247	GGB58247_SGB79898	SGB79898
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB142200	GGB142200_SGB71664	SGB71664
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_unclassified	Eubacteriales_unclassified	Eubacteriales_unclassified_SGB63201	SGB63201
Bacteria	Firmicutes	CFGB73497	OFGB73497	FGB73497	GGB115248	GGB115248_SGB160310	SGB160310
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalispora	Faecalispora_jeddahensis	SGB14881
Bacteria	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Tissierella	Tissierella_simiarum	SGB109689
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB13274	GGB13274_SGB20512	SGB20512
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacteriaceae_unclassified	Eubacteriaceae_unclassified_SGB94922	SGB94922
Bacteria	Firmicutes	CFGB79170	OFGB79170	FGB79170	GGB31235	GGB31235_SGB44536	SGB44536
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella_buccae	SGB1531
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	Anaerocolumna_aminovalerica	SGB4432
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	GGB3263	GGB3263_SGB4311	SGB4311
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB142304	GGB142304_SGB209277	SGB209277
Bacteria	Firmicutes	CFGB2906	OFGB2906	FGB2906	GGB113969	GGB113969_SGB159144	SGB159144
Bacteria	Firmicutes	CFGB1765	OFGB1765	FGB1765	GGB118774	GGB118774_SGB202985	SGB202985
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB101491	GGB101491_SGB144764	SGB144764
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	Tyzzerella_SGB70958	SGB70958
Bacteria	Firmicutes	CFGB3038	OFGB3038	FGB3038	GGB45638	GGB45638_SGB63352	SGB63352
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_unclassified	Gemmiger	Gemmiger_sp_An50	SGB15282
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_SGB1931	SGB1931
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella_copri	SGB1626
Bacteria	Bacteroidota	CFGB94449	OFGB94449	FGB94449	GGB1095	GGB1095_SGB1407	SGB1407
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter_secundus	SGB1962
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridiaceae_unclassified	Clostridiaceae_bacterium	SGB4629
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB13283	GGB13283_SGB4948	SGB4948
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium_ramulus	SGB4960
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_pectinovora	SGB1662
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB3627	GGB3627_SGB4906	SGB4906
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB3619	GGB3619_SGB4894	SGB4894
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB3500	GGB3500_SGB4676	SGB4676
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB143848	GGB143848_SGB15062	SGB15062
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_unclassified	Flintibacter	Flintibacter_SGB15145	SGB15145
Bacteria	Firmicutes	CFGB3625	OFGB3625	FGB3625	GGB3616	GGB3616_SGB4888	SGB4888
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia_luti	SGB4832
Bacteria	Firmicutes	Bacillota_unclassified	Bacillota_unclassified	Bacillota_unclassified	GGB51318	GGB51318_SGB71569	SGB71569
Bacteria	Firmicutes	CFGB94768	OFGB94768	FGB94768	GGB142737	GGB142737_SGB210594	SGB210594
Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium_sordellii	SGB6146
Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia	Romboutsia_faecis	SGB77432
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium_maltosivorans	SGB4078
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_polymorphum	SGB6001
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria_varians	SGB35116
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB45540	GGB45540_SGB63220	SGB63220
